"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
7,"Athletico Paranaense - PR","1","1","Red Bull Bragantino - SP","Arena da Baixada - PR","02/09/2020","20:30"
7,"Bahia - BA","3","5","Flamengo - RJ","Pituaçu - BA","02/09/2020","20:30"
7,"Botafogo - RJ","0","0","Coritiba - PR","Nilton Santos - RJ","02/09/2020","20:30"
7,"Palmeiras - SP","1","1","Internacional - RS","Allianz Parque - SP","02/09/2020","21:30"
7,"Santos - SP","2","2","Vasco da Gama - RJ","Vila Belmiro - SP","02/09/2020","21:30"
7,"Grêmio - RS","1","2","Sport - PE","Arena do Grêmio - RS","03/09/2020","19:00"
7,"Atlético - MG","3","0","São Paulo - SP","Mineirão - MG","03/09/2020","20:00"
8,"Flamengo - RJ","2","1","Fortaleza - CE","Maracanã - RJ","05/09/2020","17:00"
8,"Corinthians - SP","2","2","Botafogo - RJ","Neo Química Arena - SP","05/09/2020","19:00"
8,"Ceará - CE","0","1","Santos - SP","Arena Castelão - CE","05/09/2020","21:00"
8,"Red Bull Bragantino - SP","1","2","Palmeiras - SP","Nabi Abi Chedid - SP","06/09/2020","11:00"
8,"Internacional - RS","2","2","Bahia - BA","Beira-Rio - RS","06/09/2020","16:00"
8,"São Paulo - SP","3","1","Fluminense - RJ","Morumbi - SP","06/09/2020","16:00"
8,"Vasco da Gama - RJ","1","0","Athletico Paranaense - PR","São Januário - RJ","06/09/2020","18:00"
8,"Atlético - GO","1","1","Grêmio - RS","Olímpico Pedro Ludovico - GO","06/09/2020","19:00"
8,"Coritiba - PR","0","1","Atlético - MG","Couto Pereira - PR","06/09/2020","20:30"
8,"Sport - PE","2","1","Goiás - GO","Ilha do Retiro - PE","06/09/2020","20:30"
9,"Athletico Paranaense - PR","1","1","Botafogo - RJ","Arena da Baixada - PR","09/09/2020","17:30"
9,"Goiás - GO","3","3","Coritiba - PR","Hailé Pinheiro - GO","09/09/2020","18:00"
9,"Fortaleza - CE","1","0","Sport - PE","Arena Castelão - CE","09/09/2020","18:00"
9,"São Paulo - SP","1","1","Red Bull Bragantino - SP","Morumbi - SP","09/09/2020","19:15"
9,"Fluminense - RJ","1","2","Flamengo - RJ","Maracanã - RJ","09/09/2020","21:30"
9,"Santos - SP","3","1","Atlético - MG","Vila Belmiro - SP","09/09/2020","21:30"
9,"Corinthians - SP","0","2","Palmeiras - SP","Neo Química Arena - SP","10/09/2020","19:15"
9,"Internacional - RS","2","0","Ceará - CE","Beira-Rio - RS","10/09/2020","19:15"
9,"Bahia - BA","0","2","Grêmio - RS","Pituaçu - BA","10/09/2020","19:15"
9,"Vasco da Gama - RJ","1","2","Atlético - GO","São Januário - RJ","10/09/2020","21:00"
10,"Athletico Paranaense - PR","1","0","Coritiba - PR","Arena da Baixada - PR","12/09/2020","16:30"
10,"Santos - SP","2","2","São Paulo - SP","Vila Belmiro - SP","12/09/2020","19:00"
10,"Fluminense - RJ","2","1","Corinthians - SP","Maracanã - RJ","13/09/2020","16:00"
10,"Grêmio - RS","1","1","Fortaleza - CE","Arena do Grêmio - RS","13/09/2020","16:00"
10,"Atlético - MG","2","1","Red Bull Bragantino - SP","Mineirão - MG","13/09/2020","18:00"
10,"Bahia - BA","0","1","Atlético - GO","Pituaçu - BA","13/09/2020","18:00"
10,"Ceará - CE","2","0","Flamengo - RJ","Arena Castelão - CE","13/09/2020","18:00"
10,"Goiás - GO","1","0","Internacional - RS","Hailé Pinheiro - GO","13/09/2020","18:00"
10,"Palmeiras - SP","2","2","Sport - PE","Allianz Parque - SP","13/09/2020","19:45"
10,"Botafogo - RJ","2","3","Vasco da Gama - RJ","Nilton Santos - RJ","13/09/2020","20:30"
11,"São Paulo - SP","1","0","Athletico Paranaense - PR","Morumbi - SP","26/08/2020","19:00"
11,"Corinthians - SP","3","2","Bahia - BA","Neo Química Arena - SP","16/09/2020","21:30"
11,"Fortaleza - CE","1","0","Internacional - RS","Arena Castelão - CE","19/09/2020","19:00"
11,"Red Bull Bragantino - SP","4","2","Ceará - CE","Nabi Abi Chedid - SP","19/09/2020","19:00"
11,"Atlético - GO","3","4","Atlético - MG","Olímpico Pedro Ludovico - GO","19/09/2020","21:00"
11,"Grêmio - RS","1","1","Palmeiras - SP","Arena do Grêmio - RS","20/09/2020","16:00"
11,"Coritiba - PR","1","0","Vasco da Gama - RJ","Couto Pereira - PR","20/09/2020","16:00"
11,"Botafogo - RJ","0","0","Santos - SP","Nilton Santos - RJ","20/09/2020","18:15"
11,"Sport - PE","1","0","Fluminense - RJ","Ilha do Retiro - PE","20/09/2020","20:30"
11,"Flamengo - RJ","2","1","Goiás - GO","Maracanã - RJ","13/10/2020","18:00"
12,"Sport - PE","1","0","Corinthians - SP","Ilha do Retiro - PE","23/09/2020","21:30"
12,"Internacional - RS","1","1","São Paulo - SP","Beira-Rio - RS","26/09/2020","19:00"
12,"Athletico Paranaense - PR","1","0","Bahia - BA","Arena da Baixada - PR","26/09/2020","19:00"
12,"Atlético - MG","3","1","Grêmio - RS","Mineirão - MG","26/09/2020","21:00"
12,"Vasco da Gama - RJ","1","1","Red Bull Bragantino - SP","São Januário - RJ","27/09/2020","11:00"
12,"Palmeiras - SP","1","1","Flamengo - RJ","Allianz Parque - SP","27/09/2020","16:00"
12,"Ceará - CE","2","2","Goiás - GO","Arena Castelão - CE","27/09/2020","18:15"
12,"Atlético - GO","1","1","Botafogo - RJ","Olímpico Pedro Ludovico - GO","27/09/2020","18:15"
12,"Santos - SP","1","1","Fortaleza - CE","Vila Belmiro - SP","27/09/2020","20:30"
12,"Fluminense - RJ","4","0","Coritiba - PR","Nilton Santos - RJ","28/09/2020","20:00"
13,"Grêmio - RS","1","1","Internacional - RS","Arena do Grêmio - RS","03/10/2020","17:00"
13,"Palmeiras - SP","2","1","Ceará - CE","Allianz Parque - SP","03/10/2020","19:00"
13,"Red Bull Bragantino - SP","0","0","Corinthians - SP","Nabi Abi Chedid - SP","03/10/2020","21:00"
13,"Botafogo - RJ","1","1","Fluminense - RJ","Nilton Santos - RJ","04/10/2020","11:00"
13,"Coritiba - PR","1","1","São Paulo - SP","Couto Pereira - PR","04/10/2020","16:00"
13,"Flamengo - RJ","3","1","Athletico Paranaense - PR","Maracanã - RJ","04/10/2020","16:00"
13,"Bahia - BA","1","2","Sport - PE","Pituaçu - BA","04/10/2020","18:15"
13,"Fortaleza - CE","0","0","Atlético - GO","Arena Castelão - CE","04/10/2020","18:15"
13,"Goiás - GO","2","3","Santos - SP","Hailé Pinheiro - GO","04/10/2020","18:15"
13,"Atlético - MG","4","1","Vasco da Gama - RJ","Mineirão - MG","04/10/2020","20:30"
14,"Corinthians - SP","1","1","Santos - SP","Neo Química Arena - SP","07/10/2020","19:00"
14,"Flamengo - RJ","3","0","Sport - PE","Maracanã - RJ","07/10/2020","19:15"
14,"Bahia - BA","3","0","Vasco da Gama - RJ","Pituaçu - BA","07/10/2020","19:15"
14,"Grêmio - RS","2","1","Coritiba - PR","Arena do Grêmio - RS","07/10/2020","19:15"
14,"São Paulo - SP","3","0","Atlético - GO","Morumbi - SP","07/10/2020","20:30"
14,"Goiás - GO","2","4","Fluminense - RJ","Hailé Pinheiro - GO","07/10/2020","20:30"
14,"Botafogo - RJ","2","1","Palmeiras - SP","Nilton Santos - RJ","07/10/2020","21:30"
14,"Fortaleza - CE","2","1","Atlético - MG","Arena Castelão - CE","07/10/2020","21:30"
14,"Athletico Paranaense - PR","0","0","Ceará - CE","Arena da Baixada - PR","08/10/2020","19:00"
14,"Red Bull Bragantino - SP","0","2","Internacional - RS","Nabi Abi Chedid - SP","08/10/2020","21:00"
15,"Vasco da Gama - RJ","1","2","Flamengo - RJ","São Januário - RJ","10/10/2020","17:00"
15,"Palmeiras - SP","0","2","São Paulo - SP","Allianz Parque - SP","10/10/2020","19:00"
15,"Coritiba - PR","0","0","Fortaleza - CE","Couto Pereira - PR","10/10/2020","19:00"
15,"Atlético - MG","3","0","Goiás - GO","Mineirão - MG","10/10/2020","21:00"
15,"Santos - SP","2","1","Grêmio - RS","Vila Belmiro - SP","11/10/2020","16:00"
15,"Fluminense - RJ","1","0","Bahia - BA","Maracanã - RJ","11/10/2020","16:00"
15,"Atlético - GO","2","1","Red Bull Bragantino - SP","Olímpico Pedro Ludovico - GO","11/10/2020","18:15"
15,"Sport - PE","1","2","Botafogo - RJ","Ilha do Retiro - PE","11/10/2020","18:15"
15,"Internacional - RS","2","1","Athletico Paranaense - PR","Beira-Rio - RS","11/10/2020","20:30"
15,"Ceará - CE","2","1","Corinthians - SP","Arena Castelão - CE","11/10/2020","20:30"
16,"Palmeiras - SP","1","3","Coritiba - PR","Allianz Parque - SP","14/10/2020","18:00"
16,"Grêmio - RS","3","1","Botafogo - RJ","Arena do Grêmio - RS","14/10/2020","19:15"
16,"Santos - SP","0","1","Atlético - GO","Vila Belmiro - SP","14/10/2020","20:30"
16,"Athletico Paranaense - PR","0","1","Corinthians - SP","Arena da Baixada - PR","14/10/2020","21:30"
16,"Atlético - MG","1","1","Fluminense - RJ","Mineirão - MG","14/10/2020","21:30"
16,"Sport - PE","3","5","Internacional - RS","Ilha do Retiro - PE","14/10/2020","21:30"
