"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
1,"Cruzeiro - MG","0","1","Grêmio - RS","Mineirão - MG","14/04/2018","16:00"
1,"Vitória - BA","2","2","Flamengo - RJ","Manoel Barradas - BA","14/04/2018","19:00"
1,"Santos - SP","2","0","Ceará - CE","Pacaembu - SP","14/04/2018","21:00"
1,"America Fc - MG","3","0","Sport - PE","Independência - MG","15/04/2018","11:00"
1,"Vasco da Gama - RJ","2","1","Atlético - MG","São Januário - RJ","15/04/2018","16:00"
1,"Corinthians - SP","2","1","Fluminense - RJ","Arena Corinthians - SP","15/04/2018","16:00"
1,"Internacional - RS","2","0","Bahia - BA","Beira-Rio - RS","15/04/2018","16:00"
1,"Athletico Paranaense - PR","5","1","Chapecoense - SC","Arena da Baixada - PR","15/04/2018","19:00"
1,"Botafogo - RJ","1","1","Palmeiras - SP","Nilton Santos - RJ","16/04/2018","20:00"
1,"São Paulo - SP","1","0","Paraná - PR","Morumbi - SP","16/04/2018","20:00"
2,"Bahia - BA","1","0","Santos - SP","Arena Fonte Nova - BA","21/04/2018","16:00"
2,"Flamengo - RJ","2","0","America Fc - MG","Maracanã - RJ","21/04/2018","19:00"
2,"Paraná - PR","0","4","Corinthians - SP","Durival Britto - PR","22/04/2018","11:00"
2,"Chapecoense - SC","1","1","Vasco da Gama - RJ","Arena Condá - SC","22/04/2018","16:00"
2,"Fluminense - RJ","1","0","Cruzeiro - MG","Maracanã - RJ","22/04/2018","16:00"
2,"Ceará - CE","0","0","São Paulo - SP","Arena Castelão - CE","22/04/2018","16:00"
2,"Palmeiras - SP","1","0","Internacional - RS","Pacaembu - SP","22/04/2018","16:00"
2,"Atlético - MG","2","1","Vitória - BA","Independência - MG","22/04/2018","16:00"
2,"Grêmio - RS","0","0","Athletico Paranaense - PR","Arena do Grêmio - RS","22/04/2018","19:00"
2,"Sport - PE","1","1","Botafogo - RJ","Ilha do Retiro - PE","23/04/2018","20:00"
3,"Botafogo - RJ","2","1","Grêmio - RS","Nilton Santos - RJ","28/04/2018","16:00"
3,"Palmeiras - SP","0","0","Chapecoense - SC","Allianz Parque - SP","29/04/2018","16:00"
3,"Ceará - CE","0","3","Flamengo - RJ","Arena Castelão - CE","29/04/2018","16:00"
3,"Bahia - BA","0","0","Athletico Paranaense - PR","Arena Fonte Nova - BA","29/04/2018","16:00"
3,"Fluminense - RJ","1","1","São Paulo - SP","Maracanã - RJ","29/04/2018","16:00"
3,"Paraná - PR","1","2","Sport - PE","Durival Britto - PR","29/04/2018","16:00"
3,"Atlético - MG","1","0","Corinthians - SP","Independência - MG","29/04/2018","16:00"
3,"Internacional - RS","0","0","Cruzeiro - MG","Beira-Rio - RS","29/04/2018","19:00"
3,"America Fc - MG","2","1","Vitória - BA","Independência - MG","30/04/2018","20:00"
3,"Santos - SP","1","1","Vasco da Gama - RJ","Pacaembu - SP","27/09/2018","20:00"
4,"Vasco da Gama - RJ","4","1","America Fc - MG","São Januário - RJ","05/05/2018","19:00"
4,"São Paulo - SP","2","2","Atlético - MG","Morumbi - SP","05/05/2018","19:00"
4,"Corinthians - SP","1","1","Ceará - CE","Arena Corinthians - SP","06/05/2018","11:00"
4,"Flamengo - RJ","2","0","Internacional - RS","Maracanã - RJ","06/05/2018","16:00"
4,"Vitória - BA","1","2","Fluminense - RJ","Manoel Barradas - BA","06/05/2018","16:00"
4,"Athletico Paranaense - PR","1","3","Palmeiras - SP","Arena da Baixada - PR","06/05/2018","16:00"
4,"Cruzeiro - MG","1","0","Botafogo - RJ","Mineirão - MG","06/05/2018","16:00"
4,"Sport - PE","2","0","Bahia - BA","Ilha do Retiro - PE","06/05/2018","19:00"
4,"Grêmio - RS","5","1","Santos - SP","Arena do Grêmio - RS","06/05/2018","19:00"
4,"Chapecoense - SC","1","1","Paraná - PR","Arena Condá - SC","07/05/2018","20:00"
5,"Grêmio - RS","0","0","Internacional - RS","Arena do Grêmio - RS","12/05/2018","16:00"
5,"Cruzeiro - MG","2","0","Sport - PE","Mineirão - MG","13/05/2018","11:00"
5,"Athletico Paranaense - PR","1","2","Atlético - MG","Arena da Baixada - PR","13/05/2018","16:00"
5,"Chapecoense - SC","3","2","Flamengo - RJ","Arena Condá - SC","13/05/2018","16:00"
5,"Bahia - BA","2","2","São Paulo - SP","Arena Fonte Nova - BA","13/05/2018","16:00"
5,"Vasco da Gama - RJ","2","3","Vitória - BA","São Januário - RJ","13/05/2018","16:00"
5,"Corinthians - SP","1","0","Palmeiras - SP","Arena Corinthians - SP","13/05/2018","16:00"
5,"Santos - SP","3","1","Paraná - PR","Vila Belmiro - SP","13/05/2018","19:00"
5,"Ceará - CE","2","2","America Fc - MG","Arena Castelão - CE","14/05/2018","20:00"
5,"Botafogo - RJ","2","1","Fluminense - RJ","Nilton Santos - RJ","14/05/2018","20:00"
6,"Atlético - MG","1","0","Cruzeiro - MG","Independência - MG","19/05/2018","16:00"
6,"Flamengo - RJ","1","1","Vasco da Gama - RJ","Maracanã - RJ","19/05/2018","19:00"
6,"Palmeiras - SP","3","0","Bahia - BA","Allianz Parque - SP","19/05/2018","21:00"
6,"Vitória - BA","2","1","Ceará - CE","Manoel Barradas - BA","20/05/2018","11:00"
6,"Paraná - PR","0","0","Grêmio - RS","Durival Britto - PR","20/05/2018","16:00"
6,"America Fc - MG","1","0","Botafogo - RJ","Independência - MG","20/05/2018","16:00"
6,"São Paulo - SP","1","0","Santos - SP","Morumbi - SP","20/05/2018","16:00"
6,"Sport - PE","1","1","Corinthians - SP","Arena Pernambuco - PE","20/05/2018","16:00"
6,"Fluminense - RJ","2","0","Athletico Paranaense - PR","Maracanã - RJ","20/05/2018","19:00"
6,"Internacional - RS","3","0","Chapecoense - SC","Beira-Rio - RS","21/05/2018","20:00"
7,"Fluminense - RJ","3","1","Chapecoense - SC","Maracanã - RJ","26/05/2018","16:00"
