"rodada","mandante","gols.mandante","gols.visitante","visitante","estadio","data","hora"
1,"São Paulo - SP","2","0","Botafogo - RJ","Morumbi - SP","27/04/2019","16:00"
1,"Atlético - MG","2","1","Avaí - SC","Independência - MG","27/04/2019","19:00"
1,"Chapecoense - SC","2","0","Internacional - RS","Arena Condá - SC","27/04/2019","19:00"
1,"Flamengo - RJ","3","1","Cruzeiro - MG","Maracanã - RJ","27/04/2019","21:00"
1,"Grêmio - RS","1","2","Santos - SP","Arena do Grêmio - RS","28/04/2019","11:00"
1,"Ceará - CE","4","0","Csa - AL","Arena Castelão - CE","28/04/2019","16:00"
1,"Bahia - BA","3","2","Corinthians - SP","Arena Fonte Nova - BA","28/04/2019","16:00"
1,"Athletico Paranaense - PR","4","1","Vasco da Gama - RJ","Arena da Baixada - PR","28/04/2019","16:00"
1,"Palmeiras - SP","4","0","Fortaleza - CE","Allianz Parque - SP","28/04/2019","19:00"
1,"Fluminense - RJ","0","1","Goiás - GO","Maracanã - RJ","28/04/2019","19:00"
2,"Corinthians - SP","1","0","Chapecoense - SC","Arena Corinthians - SP","01/05/2019","16:00"
2,"Csa - AL","1","1","Palmeiras - SP","Rei Pelé - AL","01/05/2019","16:00"
2,"Internacional - RS","2","1","Flamengo - RJ","Beira-Rio - RS","01/05/2019","16:00"
2,"Cruzeiro - MG","1","0","Ceará - CE","Mineirão - MG","01/05/2019","19:15"
2,"Avaí - SC","1","1","Grêmio - RS","Ressacada - SC","01/05/2019","19:15"
2,"Fortaleza - CE","2","1","Athletico Paranaense - PR","Arena Castelão - CE","01/05/2019","21:30"
2,"Vasco da Gama - RJ","1","2","Atlético - MG","São Januário - RJ","01/05/2019","21:30"
2,"Goiás - GO","1","2","São Paulo - SP","Serra Dourada - GO","01/05/2019","21:30"
2,"Santos - SP","2","1","Fluminense - RJ","Vila Belmiro - SP","02/05/2019","19:15"
2,"Botafogo - RJ","3","2","Bahia - BA","Nilton Santos - RJ","02/05/2019","20:00"
3,"Vasco da Gama - RJ","1","1","Corinthians - SP","Arena da Amazônia - AM","04/05/2019","19:00"
3,"Palmeiras - SP","1","0","Internacional - RS","Allianz Parque - SP","04/05/2019","19:00"
3,"Ceará - CE","1","2","Atlético - MG","Arena Castelão - CE","04/05/2019","21:00"
3,"Chapecoense - SC","1","1","Athletico Paranaense - PR","Arena Condá - SC","05/05/2019","11:00"
